tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0261322	video	Stitches	Stitches	0	2001.0		81	Horror
tt0261326	movie	Strippers	Strippers	0	2000.0		71	Comedy,Drama
tt0261332	video	Sugar 4	Sugar 4	1	2000.0		132	Adult
tt0261336	movie	Surveillance	Surveillance	0	2000.0			Comedy,Crime,Mystery
tt0261353	video	Tight-Ass Lowriders	Tight-Ass Lowriders	1	2000.0			Adult
tt0261354	movie	Tikhie omuty	Tikhie omuty	0	2000.0		129	Comedy,Drama,Romance
tt0261375	movie	Up Syndrome	Up Syndrome	0	2000.0		59	Documentary
tt0261377	short	Urban Chaos Theory	Urban Chaos Theory	0	2000.0		21	Drama,Short
tt0261379	movie	An Island of Their Own	Vademberek	0	2001.0			Adventure,Drama,Thriller
tt0261392	movie	Jay and Silent Bob Strike Back	Jay and Silent Bob Strike Back	0	2001.0		104	Comedy
tt0261396	video	The Voyeur 16	The Voyeur 16	1	2000.0		125	Adult
tt0261403	video	Watch Me Pee	Watch Me Pee	1	2000.0		100	Adult
tt0261404	video	Watchers	Watchers	1	2000.0		90	Adult,Fantasy,Thriller
tt0261427	video	Ethnic Cheerleader Search 5	Ethnic Cheerleader Search 5	1	2001.0		110	Adult
tt0261435	movie	Poisons or the World History of Poisoning	Yady, ili vsemirnaya istoriya otravleniy	0	2001.0		106	Comedy
tt0261447	tvSeries	Yung wong jik chin	Yung wong jik chin	0	2000.0			
tt0261448	movie	Goblins and Good Luck 2	Z pekla stestí 2	0	2001.0		102	Comedy,Family
tt0261449	movie	Zatvornik	Zatvornik	0	2000.0		90	Thriller
tt0261450	movie	The Envy of Gods	Zavist bogov	0	2000.0		135	Drama,Romance
tt0261452	movie	Zhenshchin obizhat ne rekomenduetsya	Zhenshchin obizhat ne rekomenduetsya	0	2000.0		86	Drama
tt0261462	tvSeries	Attachments	Attachments	0	2000.0	2002	50	Drama
tt0261463	tvSeries	Ceres: Celestial Legend	Ayashi no Ceres	0	2000.0	2000	21	Adventure,Animation,Comedy
tt0261464	tvSeries	Az év Hangja	Az év Hangja	0	2000.0			Music
tt0261470	tvSeries	Expeditie Robinson	Expeditie Robinson	0	2000.0			Adventure,Game-Show,Reality-TV
tt0261473	tvSeries	Generation O!	Generation O!	0	2000.0	2001	26	Animation,Comedy,Family
tt0261474	tvSeries	Grande Fratello	Grande Fratello	0	2000.0		180	Game-Show,Reality-TV
